AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle;source_file;roadSurface_original
-9,7000122;0,0;;;0,0;0,1094;39,2156868;65,0;100,0;1195,0;7,769999981;22,0;-0,0234;;0;;;;SmoothCondition
-9,2000122;0,0;;;0,0;-0,0273;40,7843132;65,0;101,0;1109,0;10,02000046;22,0;0,043;;0;;;;SmoothCondition
-11,0;2,70216012;;;2,70216012;-0,0351;56,86274719;65,0;102,0;1251,0;8,130000114;21,0;0,0781;;0;;;;SmoothCondition
-10,7999878;6,530220032;;;3,828059912;-0,0703;33,33333206;65,0;102,0;1582,0;9,199999809;23,0;0,0742;38,05881882;0;;;;SmoothCondition
-10,7000122;8,782018661;;;2,251798629;-0,1406;29,80392265;65,0;104,0;1994,0;11,30000019;22,0;0,1055;35,91353989;0;;;;SmoothCondition
-9,2999878;11,0338192;;;2,251800539;-0,1015;0,0;65,0;107,0;1083,0;17,19000053;23,0;0,1211;37,360672;0;;;;SmoothCondition
-4,0;12,61007977;;;1,57626057;-0,1797;72,54901886;65,0;105,0;1227,0;8,479999542;25,0;0,1211;30,72576714;0;;;;SmoothCondition
-1,5;14,41152;;;1,80144023;-0,207;45,88235474;65,0;107,0;1374,0;13,22999954;23,0;0,1367;29,58392715;0;;;;SmoothCondition
-0,7000122;16,21295929;;;1,80143929;-0,1992;23,52941132;65,0;103,0;1532,0;10,64000034;23,0;0,1914;26,90962601;0;;;;SmoothCondition
-0,9000244;18,01440048;;;1,80144119;-0,1758;19,6078434;65,0;101,0;1545,0;9,220000267;22,0;0,1758;23,98976517;0;;;;SmoothCondition
-0,7999878;20,04101944;;;2,02661896;-0,1211;0,0;66,0;101,0;1434,0;9,529999733;22,0;0,1367;22,12722206;0;;;;SmoothCondition
1,3999634;20,49137878;;;0,45035934;-0,0156;0,0;66,0;102,0;1434,0;13,47000027;22,0;0,0859;22,14510536;0;;;;SmoothCondition
1,2999878;17,56403732;;;-2,92734146;0,0977;9,019607544;66,0;102,0;893,0;11,35000038;23,0;-0,0234;22,01040459;0;;;;SmoothCondition
1,0999756;14,41152;;;-3,15251732;0,1055;23,13725471;66,0;101,0;870,0;5,159999847;21,0;-0,0508;20,5104084;0;;;;SmoothCondition
-0,1000366;11,0338192;;;-3,3777008;0,0547;29,41176605;66,0;100,0;1231,0;4,699999809;19,0;-0,0664;20,19609642;0;;;;SmoothCondition
-0,2000122;8,331659317;;;-2,702159883;0,0195;44,31372452;66,0;106,0;1872,0;11,14999962;19,0;0,0039;21,01641464;0;;;;SmoothCondition
-0,2999878;9,90791893;;;1,576259613;-0,0664;4,313725471;66,0;111,0;1250,0;21,68000031;23,0;0,0313;21,98897171;0;;;;SmoothCondition
-0,3999634;12,61007977;;;2,70216084;-0,1758;78,4313736;66,0;107,0;1271,0;10,38000011;25,0;0,0781;22,14227676;0;;;;SmoothCondition
-0,2999878;15,53741932;;;2,92733955;-0,2461;59,2156868;66,0;114,0;1555,0;14,68000031;23,0;0,1289;22,45838547;0;;;;SmoothCondition
-0,4000244;19,81583786;;;4,27841854;-0,2969;24,70588303;66,0;113,0;1674,0;18,39999962;24,0;0,1367;22,76029015;0;;;;SmoothCondition
-0,6999512;21,84246063;;;2,02662277;-0,2695;41,17647171;66,0;111,0;1807,0;18,25;24,0;0,1211;22,59437943;0;;;;SmoothCondition
-0,7000122;24,09425926;;;2,25179863;-0,1367;34,11764908;66,0;115,0;1939,0;18,25;23,0;0,0898;22,59437943;0;;;;SmoothCondition
-0,1999512;25,67051888;;;1,57625962;-0,1406;25,09803963;66,0;112,0;2021,0;15,61999989;24,0;0,082;22,39271355;0;;;;SmoothCondition
-0,1999512;27,47196007;;;1,80144119;-0,1211;20,7843132;67,0;109,0;2052,0;14,75;23,0;0,0469;22,04594421;0;;;;SmoothCondition
0,0;28,37267876;;;0,90071869;0,0312;15,29411793;67,0;108,0;2028,0;14,88000011;23,0;0,0195;21,75104713;0;;;;SmoothCondition
0,2999878;28,14749908;;;-0,22517968;0,039;13,33333397;67,0;106,0;1958,0;13,47000027;23,0;0,0391;21,36554909;0;;;;SmoothCondition
1,0;27,69713783;;;-0,45036125;0,1523;14,50980377;67,0;105,0;1905,0;13,26000023;22,0;0,0273;21,04700661;0;;;;SmoothCondition
1,4000244;26,79641914;;;-0,90071869;0,2461;13,72549057;67,0;105,0;1831,0;13,03999996;22,0;0,0781;20,783638;0;;;;SmoothCondition
1,7000122;25,67051888;;;-1,12590026;0,1797;12,15686321;67,0;103,0;1732,0;12,02000046;21,0;-0,0195;20,50102615;0;;;;SmoothCondition
1,8999634;24,54461861;;;-1,12590027;0,0469;25,09803963;67,0;103,0;1708,0;11,56999969;21,0;-0,0742;20,24717331;0;;;;SmoothCondition
2,0999756;23,86907959;;;-0,67553902;0,0078;21,96078491;67,0;103,0;1708,0;10,96000004;21,0;-0,0234;20,00447655;0;;;;SmoothCondition
1,6999512;23,64389992;;;-0,22517967;-0,082;18,4313736;67,0;103,0;1729,0;10,97999954;21,0;0,0352;19,7482357;0;;;;SmoothCondition
1,1999512;23,41871834;;;-0,22518158;-0,2226;29,80392265;68,0;103,0;1756,0;11,06000042;21,0;0,1523;19,55601883;0;;;;SmoothCondition
-0,2000122;23,41871834;;;0,0;-0,3008;32,15686417;68,0;103,0;1756,0;15,11999989;22,0;0,2031;19,57051468;0;;;;SmoothCondition
-0,5;24,54461861;;;1,12590027;-0,2578;26,66666794;68,0;110,0;1930,0;15,97999954;23,0;0,2617;19,57103348;0;;;;SmoothCondition
-0,6000366;26,57123947;;;2,02662086;-0,1445;15,29411793;68,0;112,0;2030,0;15,23999977;23,0;0,1641;19,49700356;0;;;;SmoothCondition
-1,1000366;28,59786034;;;2,02662087;-0,0859;16,86274529;68,0;110,0;2064,0;14,71000004;23,0;0,1445;19,40486526;0;;;;SmoothCondition
-1,2999878;28,59786034;;;0,0;0,1133;0,0;68,0;104,0;2054,0;14,71000004;22,0;0,0391;19,40486526;0;;;;SmoothCondition
-1,5999756;28,14749908;;;-0,45036126;0,2656;0,0;68,0;107,0;1966,0;18,97999954;23,0;-0,082;19,48000336;0;;;;SmoothCondition
-2,2999878;25,67051888;13,22350089;121,5926897;-2,4769802;0,3555;4,705882549;68,0;106,0;1796,0;15,81000042;24,0;-0,1133;19,49733543;0;;;;SmoothCondition
-2,0999756;24,09425926;13,63891915;120,4225707;-1,57625962;0,4492;10,58823586;68,0;103,0;1689,0;14,64999962;22,0;-0,1289;19,51572227;0;;;;SmoothCondition
-1,5;22,74317932;14,03104293;118,4567689;-1,35107994;0,4258;27,45098114;68,0;103,0;1599,0;11,85000038;21,0;-0,1328;19,44176483;0;;;;SmoothCondition
0,1000366;22,29281998;14,17107305;117,5713084;-0,45035934;0,414;24,31372643;69,0;104,0;1620,0;12,21000004;20,0;-0,0859;19,38876915;0;;;;SmoothCondition
0,0999756;23,64389992;14,3289535;117,0741485;1,35107994;0,3945;20,0;69,0;104,0;1708,0;11,90999985;21,0;-0,0664;19,30163765;0;;;;SmoothCondition
0,1000366;24,76979828;14,74178347;115,268498;1,12589836;0,2187;23,52941132;69,0;104,0;1787,0;11,36999989;20,0;-0,0703;19,16961098;0;;;;SmoothCondition
0,3000488;25,4453373;15,13960143;114,1115405;0,67553902;0,1719;23,13725471;69,0;105,0;1804,0;11,72999954;21,0;-0,082;19,04090309;0;;;;SmoothCondition
0,2999878;26,79641914;15,57119641;112,7888151;1,35108184;0,1523;26,27450943;69,0;108,0;1939,0;13,82999992;21,0;-0,1289;18,98648643;0;;;;SmoothCondition
0,2000122;28,14749908;16,0140504;111,9504755;1,35107994;0,0508;29,41176605;69,0;113,0;2151,0;16,38999939;22,0;-0,2031;18,97997665;0;;;;SmoothCondition
0,6000366;29,7237606;16,48692841;111,2646558;1,57626152;0,0391;35,68627548;69,0;119,0;2270,0;17,96999931;22,0;-0,1406;18,99794388;0;;;;SmoothCondition
0,5;31,52519989;16,98607741;111,0760557;1,80143929;0,1094;41,96078491;69,0;133,0;2452,0;22,5;23,0;-0,0469;19,07406425;0;;;;SmoothCondition
0,4000244;34,22735977;17,5565334;110,8931707;2,70215988;0,1328;25,09803963;69,0;130,0;2169,0;26,22999954;23,0;-0,082;19,16825294;0;;;;SmoothCondition
-0,6000366;35,8036232;18,14575445;111,2237509;1,57626343;0,0312;59,2156868;69,0;117,0;1589,0;20,35000038;22,0;-0,0664;19,15842628;0;;;;SmoothCondition
-0,8999634;37,15470123;18,76499948;111,3773745;1,35107803;0,0391;51,37255096;70,0;124,0;1682,0;19,87999916;22,0;-0,0625;19,12820053;0;;;;SmoothCondition
-1,2000122;39,40649796;19,42177444;112,1920364;2,25179673;0,1094;30,19607925;70,0;117,0;1734,0;20,73999977;22,0;-0,0742;19,08440971;0;;;;SmoothCondition
-0,9000244;40,30722046;20,09356145;112,7330307;0,9007225;0,1172;19,2156868;70,0;106,0;1744,0;12,46000004;20,0;-0,1367;18,75436211;0;;;;SmoothCondition
-0,7000122;40,30722046;20,76534846;112,3561312;0,0;0,1406;17,64705849;70,0;104,0;1721,0;11,19999981;19,0;-0,0937;18,37468147;0;;;;SmoothCondition
-0,1000366;40,30722046;21,41086446;112,163965;0,0;0,2539;6,274509907;70,0;102,0;1706,0;11,10000038;19,0;0,0156;18,01745987;0;;;;SmoothCondition
0,1999512;39,18132019;22,05262747;109,8101316;-1,12590027;0,1055;32,54901886;70,0;104,0;1740,0;12,02999973;19,0;0,0625;17,75112152;0;;;;SmoothCondition
0,4000244;40,30722046;22,71690848;107,0998952;1,12590027;-0,0156;47,84313965;70,0;117,0;1814,0;23,28000069;20,0;0,1953;17,70003891;0;;;;SmoothCondition
0,5999756;42,3338356;23,4224724;104,3693303;2,02661514;-0,1055;55,68627548;70,0;136,0;1936,0;26,93000031;21,0;0,2773;17,73310852;0;;;;SmoothCondition
0,7999878;45,48635864;24,18057838;102,7374554;3,15252304;-0,1914;46,66666794;71,0;139,0;2041,0;23,25;23,0;0,2773;17,70068932;0;;;;SmoothCondition
1,5;47,96333694;24,97996733;101,764199;2,4769783;-0,2305;50,19607925;71,0;141,0;2150,0;26,42000008;22,0;0,2656;17,69702721;0;;;;SmoothCondition
1,2000122;50,89067459;25,78310924;104,0754167;2,92733765;-0,2656;43,52941132;71,0;142,0;2234,0;27,68000031;22,0;0,2305;17,68998337;0;;;;SmoothCondition
0,7000122;51,34103775;26,5299562;108,2968937;0,45036316;-0,2813;55,68627548;71,0;158,0;2349,0;31,39999962;21,0;0,2695;17,70848274;0;;;;SmoothCondition
0,4000244;53,36766052;27,27305023;114,6043812;2,02662277;-0,1953;49,01960754;72,0;158,0;2453,0;27,26000023;21,0;0,3047;17,66901779;0;;;;SmoothCondition
-0,0999756;57,19572067;28,04241525;124,708419;3,82806015;-0,2773;2,352941275;72,0;121,0;1713,0;27,26000023;22,0;0,2266;17,66901779;0;;;;SmoothCondition
-0,5;57,87125778;28,79676822;135,1738421;0,67553711;-0,3789;68,62744904;72,0;134,0;1875,0;16,20000076;19,0;0,3047;17,40805435;0;;;;SmoothCondition
-1,0;59,22233582;29,54361515;146,7893163;1,35107804;-0,418;61,96078491;73,0;154,0;1950,0;28,67000008;20,0;0,3242;17,38067436;0;;;;SmoothCondition
-1,2999878;61,92449951;30,30547415;160,9586305;2,70216369;-0,3672;52,15686417;73,0;158,0;2007,0;31,07999992;20,0;0,3359;17,367939;0;;;;SmoothCondition
-1,0;62,8252182;31,05232112;175,7551803;0,90071869;-0,2969;33,33333206;73,0;146,0;2032,0;31,42000008;20,0;0,2851;17,34980965;0;;;;SmoothCondition
-1,4000244;64,62665558;31,79541505;192,2442625;1,80143738;-0,3242;35,68627548;73,0;127,0;2047,0;19,94000053;19,0;0,3594;17,16148758;0;;;;SmoothCondition
-1,1000366;65,07701874;32,53850905;208,2909166;0,45036316;-0,2344;37,64706039;74,0;126,0;2071,0;21,11000061;19,0;0,332;17,00611687;0;;;;SmoothCondition
-1,0;65,52737427;33,337898;222,2856464;0,45035553;-0,2305;39,2156868;74,0;126,0;2094,0;20,81999969;19,0;0,2969;16,8465271;0;;;;SmoothCondition
-1,0;66,65327454;34,20859391;234,2554744;1,12590027;-0,2422;46,66666794;74,0;135,0;2129,0;23,45000076;19,0;0,3164;16,73787308;0;;;;SmoothCondition
-0,9000244;67,32881927;35,14684391;242,8497178;0,67554473;-0,2383;32,54901886;74,0;126,0;2143,0;21,21999931;19,0;0,332;16,59281158;0;;;;SmoothCondition
-0,8999634;68,00435638;36,14138886;247,9550537;0,67553711;-0,2617;39,2156868;74,0;129,0;2167,0;21,05999947;19,0;0,375;16,4460125;0;;;;SmoothCondition
-1,2000122;68,67989349;37,12092177;253,2599733;0,67553711;-0,3516;34,50980377;74,0;126,0;2181,0;20,43000031;19,0;0,2461;16,289217;0;;;;SmoothCondition
-1,5;69,13024902;38,06292459;259,54088;0,45035553;-0,2422;20,3921566;75,0;115,0;2174,0;17,88999939;19,0;0,2539;16,08792686;0;;;;SmoothCondition
-1,5999756;68,90507507;38,95238552;266,2590396;-0,22517395;-0,1914;20,3921566;75,0;111,0;2167,0;15,23999977;18,0;0,1484;15,59318256;0;;;;SmoothCondition
-1,5;68,67989349;39,76678645;274,3560284;-0,22518158;-0,1328;23,52941132;75,0;111,0;2171,0;17,23999977;18,0;0,0586;15,41043949;0;;;;SmoothCondition
-1,3999634;68,90507507;40,55116336;282,6754111;0,22518158;-0,0625;24,31372643;75,0;114,0;2175,0;16,39999962;18,0;0,0586;15,21777439;0;;;;SmoothCondition
-1,7000122;68,90507507;41,29801029;291,1440179;0,0;0,0;27,05882454;75,0;114,0;2187,0;19,57999992;19,0;0,0117;15,09473896;0;;;;SmoothCondition
-2,2999878;69,35543823;42,02609227;299,8083326;0,45036316;0,0664;21,96078491;75,0;116,0;2194,0;16,52000046;19,0;-0,0195;14,91569996;0;;;;SmoothCondition
-2,7000122;69,35543823;42,72415024;308,3817782;0,0;0,2148;21,96078491;75,0;114,0;2135,0;21,65999985;19,0;-0,0547;14,83209991;0;;;;SmoothCondition
-2,7000122;68,67989349;43,39593716;315,8505582;-0,67554474;0,3047;0,0;76,0;110,0;2122,0;22,23999977;20,0;-0,1016;14,7618084;0;;;;SmoothCondition
-2,4000244;66,87845612;44,04145311;320,832124;-1,80143737;0,4414;0,0;76,0;110,0;2064,0;23,42000008;20,0;-0,0781;14,71287346;0;;;;SmoothCondition
-2,2000122;65,07701874;44,66445112;323,4095949;-1,80143738;0,6015;0,0;76,0;110,0;1999,0;22,44000053;20,0;-0,1055;14,66264629;0;;;;SmoothCondition
-2,0;63,05039978;45,26868413;323,3565558;-2,02661896;0,7461;0,0;76,0;109,0;1937,0;21,27000046;19,0;-0,1563;14,60897255;0;;;;SmoothCondition
-2,0999756;60,57342148;45,85039918;320,4725449;-2,4769783;0,8359;0,0;76,0;109,0;1848,0;19,87999916;19,0;-0,2305;14,55274582;0;;;;SmoothCondition
-1,9000244;58,09643555;46,40959613;315,0024949;-2,47698593;0,8242;0,0;76,0;108,0;1785,0;19,53000069;19,0;-0,2266;14,50549412;0;;;;SmoothCondition
-1,5;55,84463882;46,94252211;307,6110464;-2,25179673;0,8203;15,68627453;76,0;110,0;1755,0;13,77999973;19,0;-0,2617;14,37785816;0;;;;SmoothCondition
-0,9000244;55,61945724;47,47544807;299,3978736;-0,22518158;0,7812;32,94117737;76,0;109,0;1758,0;14,92000008;17,0;-0,2656;14,27205944;0;;;;SmoothCondition
-0,5;55,84463882;48,01588008;290,4791126;0,22518158;0,8047;35,29411697;76,0;111,0;1777,0;15,0;17,0;-0,2539;14,17148209;0;;;;SmoothCondition
-0,7000122;56,52017593;48,56757104;281,1408229;0,67553711;0,8125;14,50980377;76,0;108,0;1780,0;13,38000011;17,0;-0,3359;14,04427814;0;;;;SmoothCondition
-1,0;55,84463882;49,08923804;271,9802345;-0,67553711;0,8047;15,68627453;76,0;105,0;1767,0;12,5;17,0;-0,3164;13,90296555;0;;;;SmoothCondition
-0,6999512;56,29499817;49,58463402;264,0164665;0,45035935;0,7734;39,2156868;76,0;109,0;1793,0;20,13999939;17,0;-0,3242;13,87477589;0;;;;SmoothCondition
-0,5;57,19572067;50,06126502;257,3021164;0,9007225;0,7578;56,47058868;76,0;127,0;1845,0;25,23999977;20,0;-0,3125;13,87772655;0;;;;SmoothCondition
-0,4000244;58,99715805;50,56791998;250,586362;1,80143738;0,6953;49,80392075;76,0;136,0;1885,0;22,85000038;20,0;-0,2812;13,86029911;0;;;;SmoothCondition
-0,5999756;60,34823608;51,10459893;243,3948002;1,35107803;0,6679;49,41176605;76,0;137,0;1943,0;20,57999992;19,0;-0,2344;13,82261658;0;;;;SmoothCondition
-0,2999878;61,69932175;51,70507898;233,966345;1,35108567;0,6484;45,49019623;76,0;130,0;1972,0;23,20000076;19,0;-0,1914;13,8035202;0;;;;SmoothCondition
0,0999756;62,60003281;52,34684187;222,6380582;0,90071106;0,6133;43,92156982;76,0;133,0;2009,0;21,59000015;19,0;-0,1641;13,76759624;0;;;;SmoothCondition
0,3000488;63,50076294;53,02613494;209,4235967;0,90073013;0,625;28,62745094;77,0;125,0;2016,0;15,55000019;19,0;-0,1523;13,66559601;0;;;;SmoothCondition
0,9000244;63,7259407;53,71668695;194,8699945;0,22517776;0,6054;29,01960754;77,0;114,0;2015,0;15,55000019;19,0;-0,1719;13,66559601;0;;;;SmoothCondition
1,6000366;63,95111847;54,38847392;180,8580149;0,22517777;0,4765;41,17647171;77,0;123,0;2035,0;18,79000092;17,0;-0,1875;13,60729885;0;;;;SmoothCondition
1,5999756;64,62665558;55,05275488;167,3169686;0,67553711;0,4219;40,39215851;77,0;129,0;2060,0;21,87999916;18,0;-0,1602;13,57752705;0;;;;SmoothCondition
1,2999878;65,52737427;55,72078883;153,8651434;0,90071869;0,3711;21,56862831;77,0;119,0;2070,0;14,93999958;19,0;-0,1562;13,41832161;0;;;;SmoothCondition
0,7999878;65,52737427;56,36630475;140,8913893;0,0;0,3555;5,09803915;77,0;110,0;2061,0;14,93999958;18,0;-0,1719;13,41832161;0;;;;SmoothCondition
0,3999634;64,85183716;56,97804371;128,2346061;-0,67553711;0,3945;0,0;77,0;110,0;1967,0;20,54999924;18,0;-0,1641;13,37944603;0;;;;SmoothCondition
-0,1000366;62,37486267;57,52222875;115,8373429;-2,47697449;0,3515;0,0;78,0;110,0;1884,0;20,43000031;18,0;-0,1719;13,34557724;0;;;;SmoothCondition
-0,6999512;59,67269897;57,99135373;104,2369076;-2,7021637;0,375;7,450980663;78,0;111,0;1836,0;21,11000061;18,0;-0,2148;13,32480431;0;;;;SmoothCondition
-0,9000244;58,32162094;58,39292475;94,50311282;-1,35107803;0,457;0,0;78,0;109,0;1755,0;20,54999924;18,0;-0,2812;13,30541039;0;;;;SmoothCondition
-1,5;56,29499817;58,73444767;85,81034124;-2,02662277;0,7186;0,0;78,0;108,0;1625,0;19,21999931;18,0;-0,3437;13,28175831;0;;;;SmoothCondition
-1,9000244;53,36766052;59,00466366;78,3312895;-2,92733765;0,9412;0,0;78,0;107,0;1405,0;17,21999931;17,0;-0,418;13,25315952;0;;;;SmoothCondition
-2,0;45,26117706;59,10224164;75,01305284;-8,10648346;1,1755;0,0;78,0;105,0;1405,0;14,65999985;17,0;-0,4805;13,2223196;0;;;;SmoothCondition
-2,0999756;36,02880096;59,03093465;78,04399797;-9,2323761;1,3981;9,019607544;78,0;103,0;1113,0;10,93000031;16,0;-0,6172;13,18479252;0;;;;SmoothCondition
-1,7999878;28,14749908;58,82827263;88,22611332;-7,88130188;1,6051;20,0;78,0;101,0;1048,0;5,980000019;15,0;-0,7851;13,09142399;0;;;;SmoothCondition
-1,5999756;20,49137878;58,4980086;107,211598;-7,6561203;1,7183;22,74509811;78,0;101,0;904,0;6,829999924;13,0;-0,832;13,07979965;0;;;;SmoothCondition
-1,7999878;13,73598003;58,0739196;134,6643719;-6,75539875;1,8394;23,52941132;78,0;101,0;888,0;5,650000095;14,0;-0,9062;13,09825134;0;;;;SmoothCondition
-1,7000122;9,90791893;57,56726457;168,3746442;-3,8280611;1,9839;27,05882454;78,0;100,0;873,0;5,159999847;14,0;-0,9648;13,13361835;0;;;;SmoothCondition
-1,5999756;6,079859734;56,96303164;209,0015875;-3,828059196;2,0699;29,01960754;78,0;100,0;866,0;5,869999886;14,0;-1,0156;13,20899677;0;;;;SmoothCondition
-0,9000244;2,70216012;56,24996167;256,1544693;-3,377699614;2,1207;38,82352829;78,0;100,0;849,0;4,96999979;15,0;-1,0507;13,20899677;0;;;;SmoothCondition
-0,2000122;1,35108006;55,47309072;305,4596785;-1,35108006;2,1597;33,33333206;78,0;100,0;795,0;5,409999847;14,0;-1,0468;13,20899677;0;;;;SmoothCondition
-0,2999878;0,0;54,62491281;356,5291855;-1,35108006;2,191;30,58823586;78,0;100,0;805,0;5,429999828;15,0;-1,039;13,20899677;0;;;;SmoothCondition
0,0;0,0;53,76922884;406,1760594;0,0;2,2418;29,41176605;78,0;100,0;813,0;5,090000153;15,0;-1,0273;13,20899677;0;;;;SmoothCondition
0,2000122;0,0;52,87976784;454,370979;0,0;2,2339;29,01960754;78,0;100,0;812,0;4,659999847;15,0;-1,0507;13,20899677;0;;;;SmoothCondition
0,5;0,0;51,92650582;500,5255534;0,0;2,2496;31,76470566;78,0;100,0;803,0;4,659999847;15,0;-1,039;13,20899677;0;;;;SmoothCondition
0,9000244;0,0;50,96198486;544,6815516;0,0;2,1793;33,33333206;78,0;100,0;841,0;4,760000229;16,0;-1,0078;13,20899677;0;;;;SmoothCondition
1,0;0,0;49,97494593;586,553344;0,0;2,0855;26,27450943;78,0;100,0;840,0;4,730000019;16,0;-0,9882;13,20899677;0;;;;SmoothCondition
0,7999878;0,0;48,94287094;625,3803383;0,0;2,0816;25,88235283;78,0;100,0;815,0;4,880000114;16,0;-0,9531;13,20899677;0;;;;SmoothCondition
0,4000244;0,0;47,89578397;661,5990092;0,0;2,0699;26,66666794;78,0;100,0;805,0;4,710000038;16,0;-0,914;13,20899677;0;;;;SmoothCondition
-0,0999756;0,0;46,81867304;694,5561953;0,0;2,0074;25,88235283;78,0;100,0;804,0;4,679999828;17,0;-0,8789;13,20899677;0;;;;SmoothCondition
0,0;0,0;45,73405606;724,8619125;0,0;1,777;27,05882454;78,0;100,0;801,0;4,820000172;17,0;-0,8164;13,20899677;0;;;;SmoothCondition
0,0;0,0;44,64193316;752,4596158;0,0;1,5466;35,29411697;78,0;100,0;792,0;4,829999924;17,0;-0,7422;13,20899677;0;;;;SmoothCondition
0,0;0,0;43,53104525;776,7707807;0,0;1,3123;30,98039246;78,0;100,0;777,0;4,630000114;17,0;-0,6406;13,20899677;0;;;;SmoothCondition
0,0;0,0;42,40889826;798,0091709;0,0;1,1171;31,37254906;78,0;100,0;807,0;4,869999886;17,0;-0,5351;13,20899677;0;;;;SmoothCondition
0,0;0,0;41,27549232;816,0822325;0,0;0,8007;31,76470566;78,0;100,0;804,0;5,210000038;17,0;-0,3867;13,20899677;0;;;;SmoothCondition
0,0;0,0;40,13082743;830,8966325;0,0;0,5781;65,88235474;78,0;102,0;1192,0;6,900000095;17,0;-0,293;13,20899677;0;;;;SmoothCondition
-0,2000122;7,881299973;39,11001161;833,2108981;7,881299973;0,3711;40,39215851;78,0;108,0;1728,0;13,31000042;20,0;-0,2031;13,29880238;0;;;;SmoothCondition
-0,2999878;11,93453979;38,16050269;829,7645665;4,053239817;0,2695;5,490196228;78,0;111,0;1299,0;15,78999996;22,0;-0,1563;13,38045311;0;;;;SmoothCondition
-0,2999878;14,18633938;37,25227679;822,8804111;2,25179959;0,1055;82,35294342;78,0;108,0;1233,0;8,859999657;22,0;-0,0391;13,42118549;0;;;;SmoothCondition
-0,4000244;17,11367989;36,38908687;812,0152863;2,92734051;0,0781;36,47058868;78,0;113,0;1438,0;14,76000023;19,0;-0,0117;13,48105335;0;;;;SmoothCondition
-0,6000366;20,04101944;35,57468594;797,9504539;2,92733955;0,1211;0,0;78,0;106,0;1317,0;13,15999985;21,0;-0,0273;13,52362728;0;;;;SmoothCondition
-0,7999878;18,46475983;34,72650797;782,8393691;-1,57625961;0,207;0,0;78,0;104,0;1317,0;12,34000015;19,0;-0,0508;13,56485748;0;;;;SmoothCondition
-0,9000244;16,21295929;33,84079999;767,526148;-2,25180054;0,2852;21,56862831;78,0;104,0;1134,0;10,02000046;19,0;-0,0781;13,6030674;0;;;;SmoothCondition
